environment,benchmark,metric,unit,quality_flag,total_runs,successful_runs,failed_runs,unavailable_runs,mean,median,min,max,stdev,cv_percent,p50,p95,p99,traceable_run_count
virtualbox,syscall_deterministic,cpu_percentage,%,FAILED,23,14,9,0,92.428571,95.0,83.0,95.0,4.362679,4.7201,95.0,95.0,95.0,14
virtualbox,syscall_deterministic,elapsed_sec,s,FAILED,23,14,9,0,0.018926,0.019385,0.015796,0.021409,0.002229,11.7789,0.019385,0.021409,0.021409,14
virtualbox,syscall_deterministic,iteration,,FAILED,23,14,9,0,2.571429,2.0,1.0,5.0,1.452546,56.4879,2.0,5.0,5.0,14
virtualbox,syscall_deterministic,latency_ns,ns,FAILED,23,14,9,0,94.628571,96.92,78.98,107.05,11.148209,11.781,96.92,107.05,107.05,14
virtualbox,syscall_deterministic,max_rss_kb,KB,FAILED,23,14,9,0,588.0,588.0,588.0,588.0,0.0,0.0,588.0,588.0,588.0,14
virtualbox,syscall_deterministic,ops_per_sec,ops/sec,FAILED,23,14,9,0,10714283.142857,10317508.43,9341787.9,12661607.22,1345620.259351,12.5591,10317508.43,12661607.22,12661607.22,14
virtualbox,syscall_deterministic,parameters.iterations,,FAILED,23,14,9,0,200000.0,200000.0,200000.0,200000.0,0.0,0.0,200000.0,200000.0,200000.0,14
virtualbox,syscall_deterministic,parameters.warmup,,FAILED,23,14,9,0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,5000.0,5000.0,5000.0,14
virtualbox,syscall_deterministic,system_time_sec,s,FAILED,23,14,9,0,0.002857,0.0,0.0,0.01,0.004688,164.0825,0.0,0.01,0.01,14
virtualbox,syscall_deterministic,telemetry.cpu_percentage,%,FAILED,23,14,9,0,92.428571,95.0,83.0,95.0,4.362679,4.7201,95.0,95.0,95.0,14
virtualbox,syscall_deterministic,telemetry.max_rss_kb,KB,FAILED,23,14,9,0,588.0,588.0,588.0,588.0,0.0,0.0,588.0,588.0,588.0,14
virtualbox,syscall_deterministic,telemetry.system_time_sec,s,FAILED,23,14,9,0,0.002857,0.0,0.0,0.01,0.004688,164.0825,0.0,0.01,0.01,14
virtualbox,syscall_deterministic,telemetry.user_time_sec,s,FAILED,23,14,9,0,0.007143,0.01,0.0,0.01,0.004688,65.633,0.01,0.01,0.01,14
virtualbox,syscall_deterministic,telemetry.vsz_kb,,FAILED,23,14,9,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,14
virtualbox,syscall_deterministic,telemetry.wall_time_sec,s,FAILED,23,14,9,0,0.017143,0.02,0.01,0.02,0.004688,27.3471,0.02,0.02,0.02,14
virtualbox,syscall_deterministic,total_syscalls,,FAILED,23,14,9,0,200000.0,200000.0,200000.0,200000.0,0.0,0.0,200000.0,200000.0,200000.0,14
virtualbox,syscall_deterministic,user_time_sec,s,FAILED,23,14,9,0,0.007143,0.01,0.0,0.01,0.004688,65.633,0.01,0.01,0.01,14
virtualbox,syscall_deterministic,wall_time_sec,s,FAILED,23,14,9,0,0.017143,0.02,0.01,0.02,0.004688,27.3471,0.02,0.02,0.02,14
